Segment,Station,Boro,Comments,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
8 Av,"14 St (A,C,E)",M,"See Manhattan CBD Transfer: 14 St (A,C,E)/8 Av (L)",,,,,,,,,,,
8 Av,"23 St (C,E)",M,,4667688,5052915,5412062,5461246,5248443,5244743,5869125,6118062,6455303,6785651,7060491
8 Av,"34 St-Penn Station (A,C,E)",M,,20237799,21338725,22503337,22637540,23727788,21707757,22130711,22484623,23729462,25262174,26013432
8 Av,"42 St-Port Authority Bus Terminal (A,C,E)",M,"See Manhattan CBD Transfer: Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",,,,,,,,,,,
8 Av,"50 St (C,E)",M,,4246821,4775967,5148328,4862746,4844903,4705726,5063371,5135167,5378311,5832174,6014215
8 Av,8 Av Total,,,35580006,38169561,40676706,40870136,41747317,39206252,40954846,41644039,43874047,46541342,48024868
53 St,"7 Av (B,D,E)",M,,3880573,4169294,4302476,3816125,3270470,3022105,3503663,3602310,3886404,4274701,4407607
53 St,"5 Av-53 St (E,M)",M,,6485663,7476721,8972244,8278472,7041443,6479282,6519352,6789453,6989592,7339012,7488443
53 St,"Lexington Av-53 St (E,M)",M,"See Manhattan CBD Transfer: Lexington Av-53 St (E,M)/51 St (6)",,,,,,,,,,,
53 St,53 St Total,,,10366236,11646015,13274720,12094597,10311913,9501387,10023015,10391763,10875996,11613713,11896050
63 St,57 St (F),M,,2209971,2425058,2360527,1861664,3326682,3734712,4075504,4218995,4249311,4473695,4559484
63 St,Lexington Av-63 St (F),M,,461268,653679,1094631,1239510,2970038,3506703,3665329,3695168,3741511,3807931,3951573
63 St,Roosevelt Island (F),M,,1212582,1285574,1371388,1425557,1588381,1596306,1648937,1629783,1927373,1874023,1929468
63 St,63 St Total,,,3883821,4364311,4826546,4526731,7885101,8837721,9389770,9543946,9918195,10155649,10440525
2 Ave,72 St (Q),M,,,,,,,,,,,,
2 Ave,86 St (Q),M,,,,,,,,,,,,
2 Ave,96 St (Q),M,,,,,,,,,,,,
2 Ave,2 Ave Total,,,,,,,,,,,,,
8 Av/Central Pk W,"59 St-Columbus Circle (A,B,C,D)",M,"See Manhattan CBD Transfer: 59 St-Columbus Circle (A,B,C,D,1)",,,,,,,,,,,
8 Av/Central Pk W,"72 St (B,C)",M,,1688084,1925022,2046939,2165933,2182889,2140202,2229597,2264805,2377265,2567885,2750338
8 Av/Central Pk W,"81 St-Museum of Natural History (B,C)",M,,2182199,2269461,3136839,3181389,3173576,3121581,3200841,3264832,3516638,3885270,4073856
8 Av/Central Pk W,"86 St (B,C)",M,,2226072,2537278,2635442,2804933,2815252,2777808,2881330,2917436,3042897,3186744,3288494
8 Av/Central Pk W,"96 St (B,C)",M,,1803103,1987730,2107628,2216182,2265763,2162723,2176470,2193942,2317801,2419299,2583733
8 Av/Central Pk W,"103 St (B,C)",M,,1071782,1193058,1312778,1360123,1396846,1377254,1381689,1399593,1485229,1535588,1599818
8 Av/Central Pk W,"Cathedral Pkwy-110 St (B,C)",M,,1540169,1512217,1586764,1678898,1682946,1694386,1744293,1748294,1847042,1955675,2092340
8 Av/Central Pk W,"116 St (B,C)",M,,1286814,1213099,1269783,1384208,1462264,1411950,1426822,1497769,1618478,1682020,1849963
8 Av/Central Pk W,"125 St (A,B,C,D)",M,,5006576,5124357,5671806,6131145,6453174,6377256,6551212,6672225,7168304,7612421,7986389
8 Av/Central Pk W,"135 St (B,C)",M,,1058949,996199,1019762,1103285,1151802,1052309,1100099,1154615,1274966,1391512,1467646
8 Av/Central Pk W,"145 St (A,B,C,D)",M,,4668128,4860399,5102824,5288463,5442821,5284515,5425628,5492501,5877424,6176544,6602419
8 Av/Central Pk W,8 Av/Central Pk W Total,,,22531876,23618820,25890565,27314559,28027333,27399984,28117981,28606012,30526044,32412958,34294996
Washington Heights,155 St (C),M,,579005,619984,652807,702040,711887,646527,658036,663161,688479,726080,739611
Washington Heights,163 St-Amsterdam Av (C),M,,835760,916375,1039680,1112003,1142295,1082718,1093788,1071437,1082128,1162204,1167101
Washington Heights,"168 St (A,C)",M,"See Upper Manhattan/Bronx Transfer: 168 St (A,C,1)",,,,,,,,,,,
Washington Heights,175 St (A),M,,3022974,3316917,3471691,3610217,3627239,3551952,3654664,3702136,3747567,3754654,3606024
Washington Heights,181 St (A),M,,2569519,2875035,2916181,2935632,2962847,2975335,2991922,2989759,3044053,3040302,2876719
Washington Heights,190 St (A),M,,1002048,1072726,1171420,1238462,1249875,1273651,1249474,1235715,1243455,1242833,1175432
Washington Heights,Dyckman St (A),M,,1701977,1775706,1865413,1919364,1921091,1860921,1873674,1866627,1838297,1837484,1697915
Washington Heights,Inwood-207 St (A),M,,1776515,1992731,2267116,2407026,2411598,2347370,2396624,2512512,2507375,2537715,2375232
Washington Heights,Washington Heights Total,,,11487798,12569474,13384308,13924744,14026832,13738474,13918182,14041347,14151354,14301272,13638034
Concourse,"155 St (B,D)",M,,941841,972596,1020074,1037764,1098713,1096009,1087830,1088096,1138763,1181067,1199549
Concourse,"161 St-Yankee Stadium (B,D)",Bx,"See Upper Manhattan/Bronx Transfer: 161 St-Yankee Stadium (B,D,4)",,,,,,,,,,,
Concourse,"167 St (B,D)",Bx,,2089530,2283831,2367519,2446398,2520038,2582380,2990133,2719646,2782661,2834640,2920517
Concourse,"170 St (B,D)",Bx,,1556528,1671994,1720421,1780736,1799016,1852171,2153603,1886181,1939039,2019834,2092449
Concourse,"174-175 Sts (B,D)",Bx,,1238426,1352788,1432213,1403031,1410738,1428349,1602542,1430258,1441796,1490168,1557954
Concourse,"Tremont Av (B,D)",Bx,,1945230,1982569,1971077,2243693,2322413,2370607,2470037,2522862,2796937,2769024,2811145
Concourse,"182-183 Sts (B,D)",Bx,,1232006,1375101,1399156,1398521,1440142,1457899,1526109,1437260,1476142,1592710,1561529
Concourse,"Fordham Rd (B,D)",Bx,,2712605,2943659,3055844,3164601,3155010,3166411,3620159,3432941,3585680,3711150,3753128
Concourse,"Kingsbridge Rd (B,D)",Bx,,2018498,2196251,2249880,2262686,2242712,2226204,2242866,2195739,2305026,2677855,2475092
Concourse,"Bedford Park Blvd (B,D)",Bx,,1496873,1641083,1677676,1717530,1620235,1628650,1641449,1688768,2062987,1928566,1989894
Concourse,Norwood-205 St (D),Bx,,1993644,2138167,2275911,2316150,2281834,2219040,2243843,2279658,2141876,2382795,2493009
Concourse,Concourse Total,,,17225181,18558039,19169771,19771110,19890851,20027720,21578571,20681409,21670907,22587809,22854266
Manhattan CBD Transfer,South Ferry (1)/Whitehall St (R),M,,7865042,8584274,9257195,7422159,6111569,7254907,7350310,7411316,7922422,8211970,8658540
Manhattan CBD Transfer,"Fulton St (A,C,J,Z,2,3,4,5)",M,,15345945,16870914,17573601,17517708,17265262,15580428,16629417,17103153,17774284,18924944,19813040
Manhattan CBD Transfer,"Chambers St (A,C)/WTC (E)/Park Place (2,3)",M,,15441318,15466106,17176166,13514172,9524464,9920511,11906942,12985669,15063815,15824723,15889622
Manhattan CBD Transfer,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,,9234505,8973289,9183118,9671286,10102123,9477184,9423850,9474425,9842045,9998832,10696528
Manhattan CBD Transfer,"Canal St (J,N,Q,R,Z,6)",M,,8718704,9335880,10531330,13578273,17699470,16858187,15561802,15313624,15666415,15965933,16444588
Manhattan CBD Transfer,"Delancey St (F)/Essex St (J,M,Z)",M,,3706517,4010741,4156715,4513142,4668756,4721469,4889089,5083448,5588232,5833377,6203633
Manhattan CBD Transfer,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",M,,6704379,7861456,8797764,9021857,7384711,7045436,7951789,8808922,9600869,10292447,10815409
Manhattan CBD Transfer,"West 4 St-Washington Sq (A,B,C,D,E,F,M)",M,,11089451,11850830,12485842,12450239,11574810,10618440,10786527,11181872,11649587,12249863,12587648
Manhattan CBD Transfer,"14 St (A,C,E)/8 Av (L)",M,,6154571,6770205,7697808,8159405,8516315,8397479,8997821,9408565,10198181,10985541,11568852
Manhattan CBD Transfer,"14 St (F,M,1,2,3)/6 Av (L)",M,,11240170,12367942,12929785,13215582,13467200,13928910,13930104,13880788,14134446,14761349,15304268
Manhattan CBD Transfer,"14 St-Union Sq (L,N,Q,R,4,5,6)",M,,19391449,21766798,23851302,26068141,27590846,28008398,28818755,29941157,31621871,33744169,35545653
Manhattan CBD Transfer,"34 St-Herald Square (B,D,F,M,N,Q,R)",M,,27153622,30374794,33715832,34800309,36236228,34930603,34765156,35125023,36403459,38564625,39040943
Manhattan CBD Transfer,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",M,,41058777,43633617,48878727,51817684,53434865,52506980,53521104,54121544,55487274,58506230,60880668
Manhattan CBD Transfer,"42 St-Bryant Pk (B,D,F,M)/5 Av (7)",M,,12201409,13166962,13955178,12822010,11321938,11033309,12062301,12297955,12859057,13575482,14200488
Manhattan CBD Transfer,"Grand Central-42 St (S,4,5,6,7)",M,,34443717,36246102,39820637,40800094,40225215,39020110,39821812,40269479,41169802,42981811,44600738
Manhattan CBD Transfer,"Lexington Av-53 St (E,M)/51 St (6)",M,,18793463,19710651,20689512,19603483,18945832,17507267,18261306,18733815,19635446,20523760,20475053
Manhattan CBD Transfer,"59 St-Columbus Circle (A,B,C,D,1)",M,,14521839,15664991,16284864,16324078,15507879,15283073,17599338,18495667,19355917,20303125,20858197
Manhattan CBD Transfer,"Lexington Av (N,Q,R)/59 St (4,5,6)",M,,15076987,15626193,16812957,17300862,16432320,16089575,16843476,17312244,18065257,19296354,20053574
Manhattan CBD Transfer,Manhattan CBD Transfer Total,,,278141865,298281745,323798333,328600484,326009803,318182266,329120899,336948666,352038379,370544535,383637442
Upper Manhattan and Bronx Transfer,"168 St (A,C,1)",M,,4966447,5460280,5689799,6008311,6229701,6312792,6397112,6466242,6705557,7068332,7703324
Upper Manhattan and Bronx Transfer,"149 St-Grand Concourse (2,4,5)",Bx,,2392059,2525142,2695631,2861071,3144631,3238418,3339938,3169948,3096279,3112547,3454530
Upper Manhattan and Bronx Transfer,"161 St-Yankee Stadium (B,D,4)",Bx,,6120674,6287870,6403511,6660715,6848109,7060571,7455364,7221332,7462504,7836990,8576546
Upper Manhattan and Bronx Transfer,Upper Manhattan and Bronx Transfer Total,,,13479180,14273292,14788941,15530097,16222441,16611781,17192414,16857522,17264340,18017869,19734400
New Lots,New Lots Av (3),B,,1272652,1353947,1343851,1420953,1463821,1460769,1574321,1652096,1678719,1783927,1840488
New Lots,Van Siclen Av (3),B,,815986,800327,759618,802672,793815,794434,845002,861617,874245,914388,958573
New Lots,Pennsylvania Av (3),B,,1450536,1494837,1469393,1551315,1598755,1621255,1687270,1749473,1762596,1825213,1865416
New Lots,Junius St (3),B,,500904,504158,485484,531351,547721,559548,626405,627933,633760,645442,660409
New Lots,Rockaway Av (3),B,,1490929,1512363,1504867,1596728,1628823,1647398,1748049,1743119,1741118,1759237,1825246
New Lots,Saratoga Av (3),B,,1491289,1499989,1496233,1590897,1619708,1585376,1615304,1573097,1645632,1673813,1720382
New Lots,Sutter Av-Rutland Rd (3),B,,1827912,1828395,1825523,1976281,2041107,2042356,2143838,2229276,2261573,2282569,2335881
New Lots,"Crown Heights-Utica Av (3,4)",B,,7909422,8157157,8344353,8105914,8256438,7988935,8170389,8045350,7973874,8303467,8573661
New Lots,Kingston Av (3),B,,1404648,1485166,1579841,1652636,1587581,1479024,1482215,1477721,1493746,1486763,1544975
New Lots,Nostrand Av (3),B,,1082019,1162425,1231685,1264329,1304281,1219726,1227694,1231518,1221856,1251246,1250756
New Lots,New Lots Total,,,19246297,19798764,20040848,20493076,20842050,20398821,21120487,21191200,21287119,21926065,22575787
Nostrand Av,"Flatbush Av-Brooklyn College (2,5)",B,,5008658,5313129,5499297,5700073,5577393,5622451,5794464,5730642,5761658,5849991,6035079
Nostrand Av,"Newkirk Av (2,5)",B,,2299639,2339290,2395907,2510682,2434317,2399729,2383197,2313604,2316227,2337181,2403333
Nostrand Av,"Beverly Rd (2,5)",B,,1167455,1209554,1231687,1280964,1273390,1240493,1238804,1200774,1206213,1244565,1271764
Nostrand Av,"Church Av (2,5)",B,,2632760,2835892,2999614,3178843,3095410,3107660,3110560,2978276,2918075,2921895,2949285
Nostrand Av,"Winthrop St (2,5)",B,,1601824,1654456,1725075,1811033,1824562,1858568,1884798,1883445,1889691,1936151,2022238
Nostrand Av,"Sterling St (2,5)",B,,1506229,1586587,1628200,1706821,1679298,1661337,1701606,1642743,1655935,1654595,1684561
Nostrand Av,"President St (2,5)",B,,815508,870539,912900,951213,961674,988829,1018882,1010994,1004062,1029299,1065963
Nostrand Av,Nostrand Av Total,,,15032073,15809447,16392680,17139629,16846044,16879067,17132311,16760478,16751861,16973677,17432223
Eastern Pkwy,"Franklin Av (2,3,4,5)",B,"See Other Brooklyn Transfer: Franklin Av (2,3,4,5)/Botanic Garden (S)",,,,,,,,,,,
Eastern Pkwy,"Eastern Pkwy-Brooklyn Museum (2,3)",B,,1339517,1487240,1495842,1458428,1423015,1205671,1332615,1423875,1513677,1564980,1602404
Eastern Pkwy,"Grand Army Plaza (2,3)",B,,2225302,2377927,2524013,2567916,2458950,2466764,2468024,2408194,2387925,2412986,2412424
Eastern Pkwy,"Bergen St (2,3)",B,,929202,1022767,1116147,1150448,1148760,1240083,1301952,1221237,1179634,1207019,1236037
Eastern Pkwy,"Atlantic Av (2,3,4,5)",B,"See Downtown Brooklyn Transfer: Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",,,,,,,,,,,
Eastern Pkwy,"Nevins St (2,3,4,5)",B,,3435196,3710448,3772571,3977784,4049864,3929387,3865685,3579170,3388788,3369278,3459284
Eastern Pkwy,"Hoyt St (2,3)",B,,1572982,1784620,1946302,1983805,2074237,2148501,2228525,2066277,2010615,1986330,1938805
Eastern Pkwy,"Borough Hall (2,3,4,5)",B,"See Downtown Brooklyn Transfer: Court St (R)/Borough Hall (2,3,4,5)",,,,,,,,,,,
Eastern Pkwy,"Clark St (2,3)",B,,1311839,1371558,934753,1312498,1262932,1348826,1452070,1513646,1581230,1592264,1627465
Eastern Pkwy,Eastern Pkwy Total,,,10814038,11754560,11789628,12450879,12417758,12339232,12648871,12212399,12061869,12132857,12276419
4 Av,Bay Ridge-95 St (R),B,,1371119,1350242,1481157,1545541,1466030,1385909,1452287,1503445,1580521,1679876,1732989
4 Av,86 St (R),B,,2056988,2179677,2435039,2682398,2727960,2629895,2794984,2970684,3028266,3226321,3343893
4 Av,77 St (R),B,,1171615,1203093,1289358,1339993,1283316,1221606,1282249,1360219,1434352,1503433,1584765
4 Av,Bay Ridge Av (R),B,,1838419,1920635,2077842,2129415,2083265,2054052,2142834,2214351,2301687,2438750,2549155
4 Av,"59 St (N,R)",B,,2228814,2379634,2637388,2753443,2778873,2725216,2938072,3221074,3527847,3705952,3833772
4 Av,53 St (R),B,,1750605,1855248,2064803,2252045,2269061,2122863,2149317,2200997,2331514,2416483,2453450
4 Av,45 St (R),B,,1669877,1784479,1982592,2112871,2115793,1977667,2033116,2120716,2192497,2285612,2358187
4 Av,"36 St (D,N,R)",B,,2332393,2646104,2747294,2884490,3011715,2900752,2925705,3057183,3296936,3344295,3567379
4 Av,25 St (R),B,,835456,904219,1008322,1073103,1144075,1096719,1115815,1130359,1150852,1199657,1223561
4 Av,Prospect Av (R),B,,1262219,1379696,1499826,1557172,1579128,1529294,1568481,1623274,1672368,1788418,1876991
4 Av,9 St (R),B,"See Other Brooklyn Transfer: 4 Av (F,G)/9 St (R)",,,,,,,,,,,
4 Av,Union St (R),B,,1325834,1428992,1537070,1564847,1595701,1579915,1666175,1757968,1828238,1984448,2071096
4 Av,"Atlantic Av-Pacific St (D,N,R)",B,"See Downtown Brooklyn Transfer: Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",,,,,,,,,,,
4 Av,DeKalb Av (R),B,"See Downtown Brooklyn Transfer: DeKalb Av (B,Q,R)",,,,,,,,,,,
4 Av,Jay St-MetroTech (R),B,"See Downtown Brooklyn Transfer: Jay St-MetroTech (A,C,F,R)",,,,,,,,,,,
4 Av,Court St (R),B,"See Downtown Brooklyn Transfer: Court St (R)/Borough Hall (2,3,4,5)",,,,,,,,,,,
4 Av,4 Av Total,,,17843339,19032019,20760691,21895318,22054917,21223888,22069035,23160270,24345078,25573245,26595238
Sea Beach,Coney Island-Stillwell Av (N),B,"See Other Brooklyn Transfer: Coney Island-Stillwell Av (D,F,N,Q)",,,,,,,,,,,
Sea Beach,86 St (N),B,,322821,376124,453685,504878,549242,564100,593182,622541,653229,619906,684815
Sea Beach,Avenue U (N),B,,385269,475002,607283,690175,725513,714949,818888,884476,1001487,984530,1116116
Sea Beach,Kings Hwy (N),B,,645783,745954,889762,947757,947550,962908,1122387,1264067,1408418,1406790,1530933
Sea Beach,Bay Pkwy (N),B,,871147,969343,1156255,1256959,1234190,1222385,1388714,1492866,1705404,1725387,1940220
Sea Beach,20 Av (N),B,,687563,789930,910483,944065,910675,879603,955555,1011315,1111079,1074076,1183329
Sea Beach,18 Av (N),B,,684817,814831,1025145,1156288,1117657,1109185,1243078,1311584,1491566,1451716,1614019
Sea Beach,New Utrecht Av (N),B,See Other Brooklyn Transfer: New Utrecht Av (N)/62 St (D),,,,,,,,,,,
Sea Beach,Fort Hamilton Pkwy (N),B,,903793,982925,1146251,1313755,1351000,1320534,1465619,1585319,1772193,1839810,1979256
Sea Beach,8 Av (N),B,,1215069,1424908,1731911,1936527,2104053,2028428,2258935,2434919,2827654,2943759,3196930
Sea Beach,Sea Beach Total,,,5716262,6579017,7920775,8750404,8939880,8802092,9846358,10607087,11971030,12045974,13245618
West End,Coney Island-Stillwell Av (D),B,"See Other Brooklyn Transfer: Coney Island-Stillwell Av (D,F,N,Q)",,,,,,,,,,,
West End,Bay 50 St (D),B,,722811,687682,694850,712530,681181,628364,657107,694458,728452,873104,871867
West End,25 Av (D),B,,1081868,1082593,1152041,1144425,1151126,1113270,1140046,1173384,1245091,1354147,1404084
West End,Bay Pkwy (D),B,,1701120,1764721,1841170,1799643,1784148,1731566,1788560,1852812,1958327,2145203,2241011
West End,20 Av (D),B,,1198356,1217529,1273128,1266071,1241155,1151845,1213529,1243817,1329709,1408668,1489652
West End,18 Av (D),B,,1164072,1188188,1250669,1278318,1290562,1207981,1302602,1359862,1507994,1653638,1792316
West End,79 St (D),B,,1178998,1223630,1349149,1377616,1382045,1356555,1471249,1525320,1628384,1730863,1781752
West End,71 St (D),B,,1231497,1219631,1267675,1222810,1215420,1131547,1149641,1153575,1238499,1384920,1434010
West End,62 St (D),B,See Other Brooklyn Transfer: New Utrecht Av (N)/62 St (D),,,,,,,,,,,
West End,55 St (D),B,,706378,717209,722860,686402,662014,614439,607689,587731,593330,622180,627136
West End,50 St (D),B,,973405,986997,1004297,980036,962325,915679,943349,944558,978644,1002804,1008658
West End,Fort Hamilton Pkwy (D),B,,1121820,1145935,1169675,1134934,1115086,1050652,1046427,1058697,1100212,1148030,1188918
West End,9 Av (D),B,,1345481,1413343,1488321,1443383,1472716,1420577,1514201,1576263,1700871,1861608,1968068
West End,West End Total,,,12425806,12647458,13213835,13046168,12957778,12322475,12834400,13170477,14009513,15185165,15807472
Brighton,Coney Island-Stillwell Av (Q),B,"See Other Brooklyn Transfer: Coney Island-Stillwell Av (D,F,N,Q)",,,,,,,,,,,
Brighton,West 8 St-New York Aquarium (Q),B,"See Other Brooklyn Transfer: West 8 St-New York Aquarium (F,Q)",,,,,,,,,,,
Brighton,Ocean Pkwy (Q),B,,754454,820232,877795,907353,621727,0,439981,832985,896658,935145,969515
Brighton,"Brighton Beach (B,Q)",B,,2705516,3047193,3323896,3443081,3652367,4111623,3777555,3636421,3682370,3895150,4125373
Brighton,"Sheepshead Bay (B,Q)",B,,3169816,3473407,3757722,3841843,3867433,3855559,3932983,4007527,4102969,4298721,4455963
Brighton,Neck Rd (Q),B,,943725,980053,1064966,1085044,1053724,984884,1009368,1046018,1083747,1148045,1172413
Brighton,Avenue U (Q),B,,1877324,2012461,2188249,2193807,2103693,1993261,2037029,2077355,2117306,2271140,2312053
Brighton,"Kings Hwy (B,Q)",B,,4200704,4541767,4891156,5004061,4937319,4698501,4895857,5049980,5222753,5470271,5821580
Brighton,Avenue M (Q),B,,1403160,1493698,1599228,1615247,1578210,1520192,1598614,1602124,1662721,1751074,1851760
Brighton,Avenue J (Q),B,,1529566,1665382,1791034,1811791,1758499,1685260,1754904,1806765,1856023,1973706,2031548
Brighton,Avenue H (Q),B,,706055,728469,778430,790631,767811,718489,800475,779514,797993,850208,887650
Brighton,"Newkirk Plaza (B,Q)",B,,2352391,2572379,2778820,2862955,2798646,2653078,2746599,2862287,2847620,2988166,3138236
Brighton,Cortelyou Rd (Q),B,,1490237,1582311,1720662,1737000,1694013,1630550,1690727,1654061,1735244,1883312,1985030
Brighton,Beverley Rd (Q),B,,766406,796981,866816,869742,818145,784967,823617,841253,847945,900828,917474
Brighton,"Church Av (B,Q)",B,,4218228,4495304,4930357,5030954,4995179,4667324,4715963,4688554,4648529,4875322,5173847
Brighton,Parkside Av (Q),B,,1523453,1607761,1757033,1743762,1634039,1495677,1571519,1635068,1724314,1827294,1855373
Brighton,"Prospect Park (B,Q)",B,"See Other Brooklyn Transfer: Prospect Park (B,Q,S)",,,,,,,,,,,
Brighton,"7 Av (B,Q)",B,,2402023,2514565,2585810,2530853,2467926,2317389,2453555,2544058,2727645,2919809,3071778
Brighton,"Atlantic Av (B,Q)",B,"See Downtown Brooklyn Transfer: Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",,,,,,,,,,,
Brighton,"DeKalb Av (B,Q)",B,"See Downtown Brooklyn Transfer: DeKalb Av (B,Q,R)",,,,,,,,,,,
Brighton,Brighton Total,,,30043058,32331963,34911974,35468124,34748731,33116754,34248746,35063970,35953837,37988191,39769593
Franklin Av,Prospect Park (S),B,"See Other Brooklyn Transfer: Prospect Park (B,Q,S)",,,,,,,,,,,
Franklin Av,Botanic Garden (S),B,"See Other Brooklyn Transfer: Franklin Av (2,3,4,5)/Botanic Garden (S)",,,,,,,,,,,
Franklin Av,Park Pl (S),B,,121713,69661,508091,617390,631818,562379,573937,602103,697221,750049,767373
Franklin Av,Franklin Av (S),B,"See Other Brooklyn Transfer: Franklin Av (C,S)",,,,,,,,,,,
Franklin Av,Franklin Av Total,,,121713,69661,508091,617390,631818,562379,573937,602103,697221,750049,767373
Culver,Coney Island-Stillwell Av (F),B,"See Other Brooklyn Transfer: Coney Island-Stillwell Av (D,F,N,Q)",,,,,,,,,,,
Culver,West 8 St-New York Aquarium (F),B,"See Other Brooklyn Transfer: West 8 St-New York Aquarium (F,Q)",,,,,,,,,,,
Culver,Neptune Av (F),B,,503561,478010,504119,544204,378933,0,250902,431424,488886,492359,490569
Culver,Avenue X (F),B,,810209,849007,892584,928461,1286868,2009044,1258144,891068,887558,886355,877399
Culver,Avenue U (F),B,,603561,637046,677118,720386,752875,682742,659164,653891,659851,676788,678084
Culver,Kings Hwy (F),B,,936606,1018831,1062204,1176295,1214280,1133573,1074326,1024797,1078416,1106013,1105178
Culver,Avenue P (F),B,,791610,853884,893706,919610,909273,823420,822928,823942,844776,892585,900117
Culver,Avenue N (F),B,,860170,932632,980643,1046714,1060932,1002106,980617,956171,995080,1051230,1067437
Culver,Bay Pkwy (F),B,,265960,339813,363739,422274,471204,478962,442295,411856,426546,448356,441249
Culver,Avenue I (F),B,,620728,688229,755743,826442,808404,738137,728014,720435,735127,736191,741356
Culver,18 Av (F),B,,1039272,1126006,1158753,1238326,1269537,1236767,1215221,1200691,1272092,1288783,1311236
Culver,Ditmas Av (F),B,,1218411,1319344,1383950,1456372,1446975,1358575,1365505,1387576,1449069,1484299,1478231
Culver,"Church Av (F,G)",B,,2455185,2566814,2718439,2920039,2968013,2859021,2811906,2794222,2894749,2941806,2965803
Culver,"Fort Hamilton Pkwy (F,G)",B,,932251,1041603,1156434,1218642,1231553,1229338,1236250,1203764,1356642,1419753,1474745
Culver,"15 St-Prospect Park (F,G)",B,,1430618,1541525,1650783,1729841,1745165,1722748,1713417,1642495,1809200,1848820,1849326
Culver,"7 Av (F,G)",B,,2721190,2947071,3163366,3411415,3381395,3328654,3316844,3291566,3418784,3507448,3451277
Culver,"4 Av (F,G)",B,"See Other Brooklyn Transfer: 4 Av (F,G)/9 St (R)",,,,,,,,,,,
Culver,"Smith-9 Sts (F,G)",B,,858514,936647,1038821,1105885,1155453,1129230,1161454,1181178,1247663,1313577,1439644
Culver,"Carroll St (F,G)",B,,2333168,2479788,2670820,2733229,2754708,2730529,2739175,2731021,2926322,3059642,3089357
Culver,"Bergen St (F,G)",B,,2077902,2179230,2442131,2670029,2861160,2839903,2800408,2802621,3021695,3126241,3169916
Culver,Jay St-MetroTech (F),B,"See Downtown Brooklyn Transfer: Jay St-MetroTech (A,C,F,R)",,,,,,,,,,,
Culver,York St (F),B,,760796,880511,996783,1081694,1126964,1093789,1151703,1250430,1428242,1603908,1855120
