Segment,Station,Boro,Comments,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Culver,Culver Total,,,21219712,22815991,24510136,26149858,26823692,26396538,25728273,25399148,26940698,27884154,28386044
Rockaway,"Rockaway Park-Beach 116 St (A,S)",Q,,300964,304775,297101,309968,339050,287672,283269,288399,309175,284184,293817
Rockaway,"Beach 105 St (A,S)",Q,,73692,72325,67523,70324,82571,78973,79375,74316,81776,78625,86044
Rockaway,"Beach 98 St (A,S)",Q,,190371,174817,172992,204734,245995,258467,267633,276116,307880,266027,232945
Rockaway,"Beach 90 St (A,S)",Q,,312464,307696,295156,303880,315225,302875,291300,315086,450634,351425,411581
Rockaway,Far Rockaway-Mott Av (A),Q,,1128532,1153707,1209684,1251685,1315459,1245249,1261486,1291830,1300501,1340080,1410829
Rockaway,Beach 25 St (A),Q,,514031,506709,500922,494252,504305,472368,465283,478759,483783,519992,554927
Rockaway,Beach 36 St (A),Q,,161608,167462,177950,184313,186328,179191,208481,237131,252933,267575,269057
Rockaway,Beach 44 St (A),Q,,115667,117931,112609,113004,116154,116074,126569,132836,139454,161583,186281
Rockaway,Beach 60 St (A),Q,,599662,583545,597701,593055,599752,587758,621841,684241,716916,755916,767363
Rockaway,Beach 67 St-Arverne By The Sea (A),Q,,409316,420976,428376,445581,462079,442288,470349,554947,512214,548672,587384
Rockaway,"Broad Channel (A,S)",Q,,79763,84381,88969,95085,99680,91353,90668,98797,103502,99178,103573
Rockaway,Howard Beach-JFK Airport (A),Q,,984728,1052475,1119085,1115611,1116106,1056239,767829,853092,879258,952812,1005669
Rockaway,Aqueduct-North Conduit Av (A),Q,,259065,258835,257305,238811,246582,223599,254798,256527,273839,268999,268814
Rockaway,Aqueduct Racetrack (A),Q,,41081,42608,40180,34960,45833,33714,36693,32521,39081,29868,30535
Rockaway,Rockaway Total,,,5170944,5248242,5365553,5455263,5675119,5375820,5225574,5574598,5850946,5924936,6208819
Lefferts Blvd,Ozone Park-Lefferts Blvd (A),Q,,2018138,2136297,2155650,2258782,2204210,2152472,2323835,2296177,2281696,2256299,2375496
Lefferts Blvd,111 St (A),Q,,804423,779154,777414,804808,770071,753474,784024,783141,808656,784560,823229
Lefferts Blvd,104 St (A),Q,,536432,521255,542599,560238,562537,546579,538356,540182,546821,534166,550019
Lefferts Blvd,Lefferts Blvd Total,,,3358993,3436706,3475663,3623828,3536818,3452525,3646215,3619500,3637173,3575025,3748744
Fulton St,Rockaway Blvd (A),Q,,1597151,1711831,1827272,1934736,1887847,1850703,1916464,1940333,2034344,2124742,2254731
Fulton St,88 St (A),Q,,609895,666138,701021,716486,699866,689475,714502,729251,748114,768436,812392
Fulton St,80 St (A),Q,,929499,944427,1000890,1064286,1027982,1035918,1062322,1103772,1215401,1264255,1315559
Fulton St,Grant Av (A),B,,1637037,1703319,1764089,1821005,1836149,1794294,1831280,1788520,1890764,1858974,1940737
Fulton St,"Euclid Av (A,C)",B,,2234535,2362686,2533878,2652161,2746113,2675549,2695952,2714696,2867762,2866128,2995164
Fulton St,Shepherd Av (C),B,,683803,708127,744227,751578,790931,762285,775145,808483,888680,912247,966964
Fulton St,Van Siclen Av (C),B,,694404,705831,749710,762661,749265,720439,744108,748594,836888,833443,915167
Fulton St,Liberty Av (C),B,,810179,859962,912375,958094,953558,900216,913733,889600,933506,891810,898961
Fulton St,"Broadway Junction (A,C)",B,"See Other Brooklyn Transfer: Broadway Junction (A,C,J,L,Z)",,,,,,,,,,,
Fulton St,Rockaway Av (C),B,,1114636,1161210,1235289,1281877,1276144,1210369,1277586,1363616,1447347,1446190,1522803
Fulton St,Ralph Av (C),B,,973438,1035173,1119354,1229837,1260986,1223034,1272284,1282366,1371497,1434216,1498036
Fulton St,"Utica Av (A,C)",B,,2882737,3210860,3485766,3799809,3973802,3824304,3904770,3946958,4204548,4171867,4435837
Fulton St,Kingston-Throop Avs (C),B,,1461417,1473414,1494024,1550977,1549536,1427297,1441842,1439534,1500794,1513915,1577316
Fulton St,"Nostrand Av (A,C)",B,,3518472,3862745,4180137,4459344,4576228,4412071,4488165,4486232,4748062,4666962,5034844
Fulton St,Franklin Av (C),B,"See Other Brooklyn Transfer: Franklin Av (C,S)",,,,,,,,,,,
Fulton St,Clinton-Washington Avs (C),B,,1120465,1198597,1249379,1383247,1395579,1379917,1441346,1427311,1512786,1531187,1636635
Fulton St,Lafayette Av (C),B,,1080736,1109533,1127943,1253523,1317980,1253975,1294346,1227212,1324976,1339622,1472253
Fulton St,"Hoyt-Schermerhorn Sts (A,C)",B,"See Downtown Brooklyn Transfer: Hoyt-Schermerhorn Sts (A,C,G)",,,,,,,,,,,
Fulton St,"Jay St-MetroTech (A,C)",B,"See Downtown Brooklyn Transfer: Jay St-MetroTech (A,C,F,R)",,,,,,,,,,,
Fulton St,"High St (A,C)",B,,1242898,1340234,1626500,1621599,1711309,1559736,1576175,1587150,1675852,1746191,1915125
Fulton St,Fulton St Total,,,22591302,24054087,25751854,27241220,27753275,26719582,27350020,27483628,29201321,29370185,31192524
Crosstown,Hoyt-Schermerhorn Sts (G),B,"See Downtown Brooklyn Transfer: Hoyt-Schermerhorn Sts (A,C,G)",,,,,,,,,,,
Crosstown,Fulton St (G),B,,518569,547048,608174,692588,701888,710085,745579,795221,893809,935284,1013751
Crosstown,Clinton-Washington Avs (G),B,,1056003,1063337,1166615,1204231,1304989,1329916,1354478,1359127,1421327,1417193,1464016
Crosstown,Classon Av (G),B,,718265,758412,824706,877937,918483,937288,960900,983256,1079948,1102407,1145468
Crosstown,Bedford-Nostrand Avs (G),B,,932563,969251,1035282,1095782,1135688,1143237,1247212,1354101,1482394,1660873,1820311
Crosstown,Myrtle-Willoughby Avs (G),B,,794828,887146,952363,1002502,1052494,1057088,1053000,1068326,1137802,1192656,1307569
Crosstown,Flushing Av (G),B,,480265,561691,581193,605843,630824,603868,609108,597146,591626,596342,599449
Crosstown,Broadway (G),B,,738637,972792,955839,994410,995803,955062,958173,969859,1010646,1006749,1032689
Crosstown,Metropolitan Av (G),B,See Other Brooklyn Transfer: Lorimer St (L)/Metropolitan Av (G),,,,,,,,,,,
Crosstown,Nassau Av (G),B,,1908766,1969467,2105943,2092116,2106243,2155562,2214967,2271946,2409331,2363088,2391486
Crosstown,Greenpoint Av (G),B,,1994476,2149293,2367567,2396391,2328851,2301183,2338708,2319763,2327950,2305443,2392113
Crosstown,21 St (G),Q,,193678,213594,255531,271923,245212,241231,232740,244254,275914,300359,315835
Crosstown,Court Sq (G),Q,"See Queens Transfer: Court Sq (E,G,M,7)",,,,,,,,,,,
Crosstown,Crosstown Total,,,9336050,10092031,10853213,11233723,11420475,11434520,11714865,11962999,12630747,12880394,13482687
Queens Blvd,21 St-Queensbridge (F),Q,,640954,754803,965975,1075486,1817341,2043820,2146962,2126490,2101042,2156028,2237998
Queens Blvd,"Court Sq-23 St (E,M)",Q,"See Queens Transfer: Court Sq (E,G,M,7)",,,,,,,,,,,
Queens Blvd,"Queens Plaza (E,M,R)",Q,,3241046,3653047,3878334,3448908,2686896,2368533,2295796,2173853,2264150,2431479,2531924
Queens Blvd,"36 St (M,R)",Q,,863955,949695,989876,1000007,967884,962171,968032,895702,910220,928673,962391
Queens Blvd,"Steinway St (M,R)",Q,,3863241,4205022,4607608,4700047,4687746,4464418,4428419,4338951,4355617,4467959,4659675
Queens Blvd,"46 St (M,R)",Q,,2276821,2492862,2657446,2738594,2860570,2786042,2830363,2856111,2904102,3013452,3115423
Queens Blvd,"Northern Blvd (M,R)",Q,,1619007,1834865,2016647,2111509,2100045,2054532,2085156,2089538,2137222,2204059,2353366
Queens Blvd,"65 St (M,R)",Q,,799396,872496,958693,968872,974652,913299,934298,976764,987693,1044744,1088018
Queens Blvd,"Jackson Hts-Roosevelt Av (E,F,M,R)",Q,"See Queens Transfer: 74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",,,,,,,,,,,
Queens Blvd,"Elmhurst Av (M,R)",Q,,3072146,3310572,3676758,3841617,4082043,4101976,4119218,4122729,4198892,4336533,4468498
Queens Blvd,"Grand Av-Newtown (M,R)",Q,,3398561,3710695,4018340,4275175,4756421,4758478,4946239,5188683,5428004,5549621,5707340
Queens Blvd,"Woodhaven Blvd (M,R)",Q,,5433833,5778531,6130686,6254631,6468305,6215717,6437633,6755466,7121569,7443133,7695845
Queens Blvd,"63 Dr-Rego Park (M,R)",Q,,4083824,4293629,4689486,4877084,4932412,4741580,4709655,4687044,4797795,4666901,4690625
Queens Blvd,"67 Av (M,R)",Q,,2317157,2329134,2476908,2533905,2608034,2588095,2615090,2678389,2719842,2760770,2841420
Queens Blvd,"Forest Hills-71 Av (E,F,M,R)",Q,,6839005,7354446,7724281,7971741,7853067,7705078,7876546,7872552,8123956,8249613,8407640
Queens Blvd,"75 Av (E,F)",Q,,965419,1068609,1138737,1129511,1142805,1131027,1144755,1128578,1141863,1155358,1141477
Queens Blvd,"Kew Gardens-Union Turnpike (E,F)",Q,,7021647,7365931,7693800,7774734,8023471,7631641,7499043,7338540,7630925,7865052,8147255
Queens Blvd,"Briarwood-Van Wyck Blvd (E,F)",Q,,1539520,1638500,1743676,1752752,1761895,1693134,1709084,1733931,1794900,1794777,1855107
Queens Blvd,Sutphin Blvd (F),Q,,1195684,1304927,1367453,1372551,1379915,1344339,1366571,1336821,1377422,1357689,1399317
Queens Blvd,Parsons Blvd (F),Q,,1810352,1929754,1996516,2020445,1896263,1799855,1779330,1754436,1782783,1840179,1902715
Queens Blvd,169 St (F),Q,,2192077,2299396,2448489,2494933,2462782,2346677,2344290,2323544,2404252,2477996,2609045
Queens Blvd,Jamaica-179 St (F),Q,,6551150,6890473,7193402,7197237,7043211,6716202,6731071,6661425,6696942,6692124,6887104
Queens Blvd,Jamaica-Van Wyck (E),Q,,1327613,1401117,1456896,1428625,1476982,1411353,1421229,1489744,1466843,1495426,1366891
Queens Blvd,Sutphin Blvd-Archer Av-JFK Airport (E),Q,"See Queens Transfer: Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",,,,,,,,,,,
Queens Blvd,Jamaica Center-Parsons-Archer (E),Q,"See Queens Transfer: Jamaica Center-Parsons-Archer (E,J,Z)",,,,,,,,,,,
Queens Blvd,Queens Blvd Total,,,61052408,65438504,69830007,70968364,71982740,69777967,70388780,70529291,72346034,73931566,76069074
Jamaica,"Jamaica Center-Parsons-Archer (J,Z)",Q,"See Queens Transfer: Jamaica Center-Parsons-Archer (E,J,Z)",,,,,,,,,,,
Jamaica,"Sutphin Blvd-Archer Av-JFK Airport (J,Z)",Q,"See Queens Transfer: Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",,,,,,,,,,,
Jamaica,"121 St (J,Z)",Q,,480763,473254,543932,547283,526906,525808,557178,552109,564201,569945,618089
Jamaica,111 St (J),Q,,615101,626111,654333,681993,687152,687682,708300,729180,767389,766667,788314
Jamaica,"104 St (J,Z)",Q,,597237,607305,642137,701132,651842,627814,653122,659876,702374,722113,765115
Jamaica,"Woodhaven Blvd (J,Z)",Q,,803909,811218,887728,959802,971635,978734,1062549,1085551,1147011,1180476,1269407
Jamaica,85 St-Forest Pkwy (J),Q,,812337,858008,923953,986167,997479,1009608,1052091,1038453,1105465,1115695,1134066
Jamaica,"75 St-Elderts Ln (J,Z)",Q,,828231,852946,913014,936366,954450,982299,1021645,1002298,1094080,1082548,1138288
Jamaica,Cypress Hills (J),B,,293127,301280,333286,384611,397476,394158,369361,368182,593808,425388,429277
Jamaica,"Crescent St (J,Z)",B,,1131938,1128011,1195070,1242289,1285085,1282122,1284988,1428345,811741,1277248,1436424
Jamaica,"Norwood Av (J,Z)",B,,813549,830750,853214,872507,886048,861178,893055,496936,945068,1009451,1077051
Jamaica,Cleveland St (J),B,,769497,795633,806004,835133,836769,804319,824002,944693,704932,818018,937050
Jamaica,"Van Siclen Av (J,Z)",B,,604269,603460,657301,665636,662404,669551,702250,724441,523111,717189,780986
Jamaica,Alabama Av (J),B,,388882,473003,561452,621905,663227,682934,723947,333184,581954,605337,675258
Jamaica,"Broadway Junction (J,Z)",B,"See Other Brooklyn Transfer: Broadway Junction (A,C,J,L,Z)",,,,,,,,,,,
Jamaica,"Chauncey St (J,Z)",B,,510775,475925,442672,472913,598079,601795,626307,674895,704068,771353,822076
Jamaica,Halsey St (J),B,,1005791,982795,1093788,1090096,1023710,1187843,1244439,1312532,1393164,1503525,1619882
Jamaica,"Gates Av (J,Z)",B,,995783,882089,878288,889505,1150251,1179023,1279317,1329822,1390938,1495901,1609242
Jamaica,Kosciuszko St (J),B,,747696,652109,755744,766967,642028,808386,891833,993223,1081542,1198873,1293503
Jamaica,"Myrtle Av (J,M,Z)",B,,1358625,1237776,1445183,1717802,1847117,1807115,1914063,2045577,2252520,2434091,2676471
Jamaica,"Flushing Av (J,M)",B,,1533753,1246103,1479988,1500323,1502071,1763948,1858787,1967143,2073472,2189891,2359615
Jamaica,"Lorimer St (J,M)",B,,733644,521758,636965,606643,798094,876628,949666,1049014,1165645,1233330,1345921
Jamaica,"Hewes St (J,M)",B,,472781,367422,524681,473727,432707,725563,866705,653042,646500,657361,703052
Jamaica,"Marcy Av (J,M,Z)",B,,1847238,1368283,1878856,1967312,1895641,1667630,1465104,2150307,2537777,2600039,2897071
Jamaica,Jamaica Total,,,17344926,16095239,18107589,18920112,19410171,20124138,20948709,21538803,22786760,24374439,26376158
Myrtle Av,Middle Village-Metropolitan Av (M),Q,,980478,794838,946899,978423,958814,959474,940431,963176,980228,1023174,1116504
Myrtle Av,Fresh Pond Rd (M),Q,,1096676,1011576,1153978,1200058,1197019,1167764,1199284,1234878,1328877,1364646,1453096
Myrtle Av,Forest Av (M),Q,,825650,787101,889845,942974,937490,947229,955475,970061,1020734,1021673,1055248
Myrtle Av,Seneca Av (M),Q,,517308,418420,515735,529668,541514,578499,581806,618770,668875,648147,662730
Myrtle Av,Myrtle-Wyckoff Avs (M),B,"See Other Brooklyn Transfer: Myrtle-Wyckoff Avs (L,M)",,,,,,,,,,,
Myrtle Av,Knickerbocker Av (M),B,,777074,685186,767884,851836,853423,874095,837820,909968,992499,965345,1018665
Myrtle Av,Central Av (M),B,,320396,308538,351638,405463,461612,488636,494447,510728,593241,620228,684847
Myrtle Av,Myrtle Av Total,,,4517582,4005659,4625979,4908422,4949872,5015697,5009263,5207581,5584454,5643213,5991090
Canarsie,Canarsie-Rockaway Pkwy (L),B,,2361160,2610464,2873821,3118706,3213675,3130551,3005573,3138066,3393413,3601731,3773940
Canarsie,East 105 St (L),B,,702894,721674,774380,785548,792330,764503,717132,748816,839813,933164,1017671
Canarsie,New Lots Av (L),B,,500881,571950,670080,726318,788434,824957,769819,751125,817620,939010,1072250
Canarsie,Livonia Av (L),B,,364160,404753,449545,475538,514316,513603,473460,511699,512426,603620,691560
Canarsie,Sutter Av (L),B,,755344,818461,968546,945035,955316,830910,627492,799538,812545,1001950,1104244
Canarsie,Atlantic Av (L),B,,159935,195366,236626,237261,210638,231472,231450,250595,293079,339874,386672
Canarsie,Broadway Junction (L),B,"See Other Brooklyn Transfer: Broadway Junction (A,C,J,L,Z)",,,,,,,,,,,
Canarsie,Bushwick Av-Aberdeen St (L),B,,217643,251334,259722,261751,281850,260329,268539,258415,270326,315597,366270
Canarsie,Wilson Av (L),B,,639418,700613,718485,746073,813627,748586,776011,749550,795638,931948,1055011
Canarsie,Halsey St (L),B,,1184165,1297954,1327024,1379653,1461432,1352244,1451513,1487945,1558058,1758909,1946762
Canarsie,Myrtle-Wyckoff Avs (L),B,"See Other Brooklyn Transfer: Myrtle-Wyckoff Avs (L,M)",,,,,,,,,,,
Canarsie,DeKalb Av (L),B,,1793672,2053889,2259664,2479825,2627958,2561679,2787111,2705175,2754838,3024645,3329950
Canarsie,Jefferson St (L),B,,956242,1036814,1142771,1237370,1213196,1115693,1186313,1185826,1255743,1403678,1569253
Canarsie,Morgan Av (L),B,,672653,736460,809476,869148,901318,937331,1126156,1135437,1217986,1455193,1664668
Canarsie,Montrose Av (L),B,,955260,1149453,1229329,1361833,1459747,1325136,1437803,1399841,1394241,1593816,1747376
Canarsie,Grand St (L),B,,1159806,1319251,1475305,1623686,1754342,1693319,1798462,1729826,1788622,1925383,2075718
Canarsie,Graham Av (L),B,,1610041,1751983,1899410,2030039,2133619,2081090,2275553,2247520,2310077,2505392,2727719
Canarsie,Lorimer St (L),B,See Other Brooklyn Transfer: Lorimer St (L)/Metropolitan Av (G),,,,,,,,,,,
Canarsie,Bedford Av (L),B,,2880786,3323915,3783475,4246411,4617671,4619699,4899378,5013263,4999176,5766688,6504331
Canarsie,Canarsie Total,,,16914060,18944334,20877659,22524195,23739469,22991102,23831765,24112637,25013601,28100598,31033395
Flushing (Queens),Flushing-Main St (7),Q,,14664947,15673416,16582717,17270683,17450919,16449917,16794958,17063571,17818980,17987206,18429212
Flushing (Queens),Mets-Willets Point (7),Q,,927705,1065889,1224846,1362851,1397373,1339982,1353987,1538272,1735867,1863860,2036355
Flushing (Queens),111 St (7),Q,,2265748,2440398,2633793,2880255,3031618,2899626,2905699,2940221,3077946,3293751,3398514
Flushing (Queens),103 St-Corona Plaza (7),Q,,3947621,4328826,4747981,5120456,5129508,4881361,4764309,4871031,5142820,5396217,5893000
Flushing (Queens),Junction Blvd (7),Q,,5157592,5664467,6114861,6615247,6765353,6450669,6574854,6492502,6657782,6801898,6888532
Flushing (Queens),90 St-Elmhurst Av (7),Q,,4902209,5274341,5540085,5756272,5786723,5453880,5303427,5378847,5513425,5486746,5671029
Flushing (Queens),82 St-Jackson Hts (7),Q,,5143104,5553812,5898587,6363753,6273432,5845156,5571720,5519824,5481685,5311181,5438796
Flushing (Queens),74 St-Broadway (7),Q,"See Queens Transfer: 74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",,,,,,,,,,,
Flushing (Queens),69 St (7),Q,,1375912,1546688,1594369,1732078,1729550,1684620,1623858,1612861,1646525,1603867,1615823
Flushing (Queens),Woodside-61 St (7),Q,,3846607,4172624,4546695,4894701,4885591,4772356,4878671,4920129,5094745,5169510,5517813
Flushing (Queens),52 St (7),Q,,1789861,1854997,1932097,2045660,2035015,1989342,2041649,2029460,2039685,2046013,2108716
Flushing (Queens),46 St-Bliss St (7),Q,,3759491,3922375,4192116,4378691,4329027,4249671,4282558,4370850,4499243,4489751,4706888
Flushing (Queens),40 St-Lowery St (7),Q,,2884755,3029710,3120614,3194535,3208254,3122161,3118398,3137953,3249075,3238060,3364462
Flushing (Queens),33 St-Rawson St (7),Q,,2563734,2801317,3041631,3041783,3261115,3423482,3219242,3181420,3306979,3433896,3584119
Flushing (Queens),Queensboro Plaza (7),Q,"See Queens Transfer: Queensboro Plaza (N,Q,7)",,,,,,,,,,,
Flushing (Queens),Court Sq (7),Q,"See Queens Transfer: Court Sq (E,G,M,7)",,,,,,,,,,,
Flushing (Queens),Hunters Point Av (7),Q,,1096777,1287449,1386684,1570022,1576228,1626564,1719781,1703096,1773821,1809854,1799350
Flushing (Queens),Vernon Blvd-Jackson Av (7),Q,,1694923,1680570,1749341,1844675,1723353,1748051,1841456,1858943,2016912,2414808,2967358
Flushing (Queens),Flushing (Queens) Total,,,56020986,60296879,64306417,68071662,68583059,65936838,65994567,66618980,69055490,70346618,73419967
Astoria,"Astoria-Ditmars Blvd (N,Q)",Q,,4235703,4395115,4534284,4684867,4774750,4662751,4706455,4794029,4941924,5090254,5276352
Astoria,"Astoria Blvd (N,Q)",Q,,2543903,2625687,2720539,2878864,3046649,2912579,3036773,3182143,3266184,3407485,3605708
Astoria,"30 Av (N,Q)",Q,,3587061,3725428,3734938,3780433,3885569,3868714,3982000,4046487,4173798,4335014,4445528
Astoria,"Broadway (N,Q)",Q,,3326320,3374355,3426057,3542286,3712393,3715489,3806187,3899010,4057520,4127193,4192433
Astoria,"36 Av (N,Q)",Q,,1808014,1871564,1865501,1941024,2055318,2054015,2123554,2186785,2259276,2297693,2359911
Astoria,"39 Av (N,Q)",Q,,424825,443129,476778,490623,539489,580183,599451,590683,629063,652674,698572
Astoria,"Queensboro Plaza (N,Q)",Q,"See Queens Transfer: Queensboro Plaza (N,Q,7)",,,,,,,,,,,
Astoria,Astoria Total,,,15925826,16435278,16758097,17318097,18014168,17793731,18254420,18699137,19327765,19910313,20578504
Downtown Brooklyn Transfer,"Court St (R)/Borough Hall (2,3,4,5)",B,,8755430,9269681,9923338,10154126,10007439,9905366,10068472,9857821,9746520,10147974,10698228
Downtown Brooklyn Transfer,"Jay St-MetroTech (A,C,F,R)",B,,8583410,9340790,9872448,10446016,10980334,10757128,10648020,10155638,10301473,10429024,10642207
Downtown Brooklyn Transfer,"Hoyt-Schermerhorn Sts (A,C,G)",B,,2107676,2270964,2433404,2637290,2803185,2657635,2603327,2555849,2685746,2641181,2897619
Downtown Brooklyn Transfer,"DeKalb Av (B,Q,R)",B,,3932933,4365486,4584575,4555544,4415846,4074539,3943980,4398460,4636026,4843313,5043274
Downtown Brooklyn Transfer,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",B,,6359588,6630855,6793160,6824355,7023218,6651271,7616059,8615349,9134590,9643487,10121151
Downtown Brooklyn Transfer,Downtown Brooklyn Transfer Total,,,29739037,31877776,33606925,34617331,35230022,34045939,34879858,35583117,36504355,37704979,39402479
Other Brooklyn Transfer,"Prospect Park (B,Q,S)",B,,1894381,2059531,2299429,2397513,2483034,2371966,2407758,2429105,2547571,2706111,2824450
Other Brooklyn Transfer,"Franklin Av (2,3,4,5)/Botanic Garden (S)",B,,3295682,3429997,3730945,3723729,3805122,3829297,3881696,3785648,3791133,4013780,4228510
Other Brooklyn Transfer,"Franklin Av (C,S)",B,,1024602,1135462,1291391,1436567,1452200,1378886,1425006,1372399,1467208,1562157,1659913
Other Brooklyn Transfer,New Utrecht Av (N)/62 St (D),B,,1134983,1192586,1223846,1293021,1372402,1357594,1369435,1473555,1558351,1672534,1689985
Other Brooklyn Transfer,"4 Av (F,G)/9 St (R)",B,,2200585,2351500,2531283,2743284,2808942,2798588,2895541,2957677,3100389,3220717,3433636
Other Brooklyn Transfer,"Broadway Junction (A,C,J,L,Z)",B,,1875274,2157394,2436704,2564744,2723305,2755443,2907219,3100697,3236530,2907085,2937794
Other Brooklyn Transfer,"Myrtle-Wyckoff Avs (L,M)",B,,3090655,3580947,3825544,4172431,4338567,4207017,4418404,4285081,4376360,4710774,5230077
Other Brooklyn Transfer,Lorimer St (L)/Metropolitan Av (G),B,,1777083,2184456,2480223,2814750,3036305,3213748,3111178,3458418,3577528,3859353,3831975
Other Brooklyn Transfer,"Coney Island-Stillwell Av (D,F,N,Q)",B,,3203121,3366797,3527852,3763352,3193955,1957321,2927108,3708468,3981855,4258403,4482958
Other Brooklyn Transfer,"West 8 St-New York Aquarium (F,Q)",B,,758364,794825,766410,783586,635201,0,412177,650601,680560,772932,809964
Other Brooklyn Transfer,Other Brooklyn Transfer Total,,,20254730,22253495,24113627,25692977,25849033,23869860,25755522,27221649,28317485,29683846,31129262
Queens Transfer,"Queensboro Plaza (N,Q,7)",Q,,2168402,2317187,2469153,2636511,2661602,2571671,2493945,2578405,2622553,2704362,2772097
Queens Transfer,"74-Bway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,,11329341,12729748,13672288,13769858,13910931,13485469,13777542,14024464,14759672,15964663,16466572
Queens Transfer,"Court Sq (E,G,M,7)",Q,,3999718,4295306,4659309,4964556,6360620,6669877,7333573,7465169,7750896,7982397,8530602
Queens Transfer,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Q,,4084024,4356805,4719753,4794549,4980193,4869844,5338138,5544960,5831016,6064612,6433286
Queens Transfer,"Jamaica Center-Parsons-Archer (E,J,Z)",Q,,10437312,10793005,11129316,11023711,11091332,11024047,11193200,11080033,11259917,11281412,11738947
Queens Transfer,Queens Transfer Total,,,32018797,34492051,36649819,37189185,39004678,38620908,40136398,40693031,42224054,43997446,45941504
Grand Total,Grand Total,,,1199330220,1283098990,1381147265,1406767963,1414650970,1385124771,1427391117,1450586429,1500247828,1563703626,1625069716
Brooklyn,Brooklyn,,,242272072,257384734,276129236,288697529,292329777,283959846,293034511,298405584,310403942,324264155,340763988
Bronx,Bronx,,,97692543,102898566,108515469,113364916,116822017,116584637,118529291,121197389,125269882,130833982,139326991
Manhattan,Manhattan,,,674929738,726691263,788260736,789627822,786417386,771340261,799523452,812376957,838479535,876966709,904312751
Queens,Queens,,,184435867,196124427,208241824,215077696,219081790,213240027,216303863,218606499,226094469,231638780,240665986
SysAdj,SysAdj,,,89173,-17569,-68370,-1467601,-1473018,-1055826,-1350974,-1477207,-1331845,-1188561,-1188350
Match to rev_ridsum,Match to rev_ridsum,,,-43,212,18,24,-9,-2,-7,20,1,0,3
Systemwide Adjustment,Systemwide Adjustment,,,89130,-17357,-68352,-1467577,-1473027,-1055828,-1350981,-1477187,-1331844,-1188561,-1188347
System Total,System Total,,,1199419350,1283081633,1381078913,1405300386,1413177943,1384068943,1426040136,1449109242,1498915984,1562515065,1623881369